"payment_id","subscription_id","user_id","subscription_type","amount_cents","amount","payment_method","payment_time_raw","created_time_raw"
1468,1,4979,"Student",99,"0.99","Wallet",NULL,"38:17.4"
472,2,699,"Premium",199,"1.99","Wallet",NULL,"43:03.5"
1158,3,3623,"Premium",199,"1.99","Credit Card",NULL,"42:16.4"
718,4,5367,"Premium",199,"1.99","Net Banking",NULL,"18:45.7"
2056,5,6800,"Premium",199,"1.99","UPI",NULL,"21:56.9"
1783,6,3696,"Premium",199,"1.99","Wallet",NULL,"09:53.1"
358,7,3293,"Family",299,"2.99","Net Banking",NULL,"06:58.1"
107,8,1835,"Student",99,"0.99","Net Banking",NULL,"56:51.3"
1665,9,6858,"Premium",199,"1.99","Net Banking",NULL,"56:22.2"
480,10,5263,"Family",299,"2.99","Debit Card",NULL,"12:35.7"
206,11,5140,"Family",299,"2.99","Credit Card",NULL,"46:47.1"
1173,12,363,"Student",99,"0.99","Credit Card",NULL,"22:47.3"
1474,13,5090,"Premium",199,"1.99","Net Banking",NULL,"03:25.7"
954,14,2904,"Premium",199,"1.99","UPI",NULL,"41:05.7"
951,15,2760,"Family",299,"2.99","UPI",NULL,"56:42.0"
1659,16,1534,"Premium",199,"1.99","UPI",NULL,"15:42.2"
1789,17,1179,"Student",99,"0.99","Wallet",NULL,"16:51.3"
1857,18,6969,"Student",99,"0.99","Wallet",NULL,"00:15.9"
394,19,4130,"Student",99,"0.99","UPI",NULL,"42:52.0"
1797,20,3120,"Premium",199,"1.99","Debit Card",NULL,"26:59.2"
301,21,4526,"Student",99,"0.99","Debit Card",NULL,"15:01.0"
611,22,1742,"Family",299,"2.99","Debit Card",NULL,"29:08.6"
2016,23,6905,"Premium",199,"1.99","Credit Card",NULL,"14:37.5"
1354,24,4768,"Family",299,"2.99","Net Banking",NULL,"42:53.2"
557,25,3845,"Student",99,"0.99","UPI",NULL,"11:22.3"
621,26,6631,"Student",99,"0.99","Debit Card",NULL,"26:22.6"
682,27,5493,"Family",299,"2.99","Net Banking",NULL,"32:06.0"
933,28,5108,"Student",99,"0.99","Credit Card",NULL,"38:19.8"
1908,29,4675,"Student",99,"0.99","Credit Card",NULL,"02:52.9"
1769,30,5194,"Student",99,"0.99","Debit Card",NULL,"03:12.1"
1069,31,1367,"Family",299,"2.99","Credit Card",NULL,"03:30.3"
259,32,2086,"Family",299,"2.99","Net Banking",NULL,"37:08.3"
130,33,5160,"Student",99,"0.99","Wallet",NULL,"03:44.7"
40,34,1743,"Student",99,"0.99","Wallet",NULL,"49:31.9"
367,35,4169,"Premium",199,"1.99","Debit Card",NULL,"41:41.2"
683,36,227,"Family",299,"2.99","UPI",NULL,"25:33.1"
2026,37,2017,"Student",99,"0.99","Debit Card",NULL,"53:20.3"
1353,38,5722,"Student",99,"0.99","Debit Card",NULL,"48:11.3"
245,39,223,"Premium",199,"1.99","UPI",NULL,"21:23.7"
1426,40,4304,"Student",99,"0.99","Debit Card",NULL,"04:15.0"
1843,41,351,"Student",99,"0.99","Debit Card",NULL,"03:28.2"
1373,42,6945,"Premium",199,"1.99","Net Banking",NULL,"16:50.3"
864,43,2503,"Student",99,"0.99","UPI",NULL,"59:54.0"
359,44,2057,"Student",99,"0.99","Debit Card",NULL,"35:01.1"
519,45,383,"Family",299,"2.99","Debit Card",NULL,"22:44.1"
857,46,5692,"Student",99,"0.99","Debit Card",NULL,"56:52.1"
1482,47,5299,"Family",299,"2.99","Credit Card",NULL,"18:47.2"
1567,48,4225,"Family",299,"2.99","Debit Card",NULL,"51:02.0"
442,49,4965,"Premium",199,"1.99","Net Banking",NULL,"07:24.1"
1619,50,591,"Premium",199,"1.99","Wallet",NULL,"14:32.8"
1592,51,4759,"Premium",199,"1.99","Wallet",NULL,"42:42.2"
880,52,6893,"Family",299,"2.99","Net Banking",NULL,"56:13.0"
1380,53,2054,"Premium",199,"1.99","Debit Card",NULL,"42:08.3"
386,54,533,"Student",99,"0.99","Net Banking",NULL,"28:16.8"
89,55,6534,"Student",99,"0.99","Wallet",NULL,"47:03.6"
494,56,2329,"Student",99,"0.99","Credit Card",NULL,"01:12.9"
1440,57,3184,"Student",99,"0.99","Net Banking",NULL,"12:55.2"
1898,58,5068,"Student",99,"0.99","Wallet",NULL,"08:11.7"
874,59,4268,"Student",99,"0.99","Debit Card",NULL,"41:24.9"
827,60,2235,"Student",99,"0.99","Wallet",NULL,"56:04.8"
867,61,4283,"Premium",199,"1.99","UPI",NULL,"21:45.9"
2018,62,4641,"Student",99,"0.99","Debit Card",NULL,"45:17.2"
892,63,6722,"Student",99,"0.99","Net Banking",NULL,"05:43.3"
1462,64,6920,"Student",99,"0.99","UPI",NULL,"56:14.9"
199,65,5555,"Student",99,"0.99","Net Banking",NULL,"50:46.5"
142,66,4361,"Student",99,"0.99","Credit Card",NULL,"14:54.0"
710,67,2601,"Family",299,"2.99","Wallet",NULL,"53:05.9"
578,68,956,"Student",99,"0.99","Debit Card",NULL,"34:05.8"
1270,69,6708,"Family",299,"2.99","UPI",NULL,"01:38.7"
1193,70,6266,"Family",299,"2.99","Credit Card",NULL,"51:17.9"
297,71,6543,"Student",99,"0.99","Debit Card",NULL,"19:19.7"
1371,72,944,"Family",299,"2.99","UPI",NULL,"39:22.8"
465,73,313,"Premium",199,"1.99","Credit Card",NULL,"13:47.8"
1282,74,921,"Premium",199,"1.99","Wallet",NULL,"08:31.4"
401,75,3000,"Family",299,"2.99","Net Banking",NULL,"54:38.5"
866,76,3658,"Premium",199,"1.99","Wallet",NULL,"56:02.9"
129,77,3040,"Student",99,"0.99","UPI",NULL,"18:32.6"
1590,78,3471,"Premium",199,"1.99","Net Banking",NULL,"33:22.8"
1298,79,268,"Student",99,"0.99","Debit Card",NULL,"08:39.3"
471,80,4940,"Family",299,"2.99","Net Banking",NULL,"27:47.2"
185,81,4581,"Student",99,"0.99","Net Banking",NULL,"58:27.8"
1633,82,1037,"Premium",199,"1.99","Net Banking",NULL,"59:46.7"
782,83,4326,"Family",299,"2.99","Wallet",NULL,"56:24.9"
690,84,4827,"Student",99,"0.99","UPI",NULL,"52:46.8"
