"subscription_id","user_id","subscription_type","start_date","end_date","is_active","is_churned","tenure_days","tenure_bucket"
1,4979,"Student","2021-05-23","2021-06-22",False,True,30,"0-30 days"
2,699,"Premium","2024-02-21","2024-05-21",False,True,90,"31-90 days"
3,3623,"Premium","2022-04-23","2023-04-23",False,True,365,"181-365 days"
4,5367,"Premium","2023-06-25","2024-06-24",False,True,365,"181-365 days"
5,6800,"Premium","2019-08-06","2019-09-05",False,True,30,"0-30 days"
6,3696,"Premium","2020-06-25","2020-09-23",False,True,90,"31-90 days"
7,3293,"Family","2024-06-28","2024-07-28",False,True,30,"0-30 days"
8,1835,"Student","2025-03-11","2026-03-11",True,False,315,"181-365 days"
9,6858,"Premium","2020-10-27","2021-04-25",False,True,180,"91-180 days"
10,5263,"Family","2024-02-10","2024-08-08",False,True,180,"91-180 days"
11,5140,"Family","2024-11-20","2024-12-20",False,True,30,"0-30 days"
12,363,"Student","2022-04-07","2022-07-06",False,True,90,"31-90 days"
13,5090,"Premium","2021-05-20","2022-05-20",False,True,365,"181-365 days"
14,2904,"Premium","2022-11-07","2023-11-07",False,True,365,"181-365 days"
15,2760,"Family","2022-11-08","2023-05-07",False,True,180,"91-180 days"
16,1534,"Premium","2020-11-03","2021-11-03",False,True,365,"181-365 days"
17,1179,"Student","2020-06-20","2021-06-20",False,True,365,"181-365 days"
18,6969,"Student","2020-03-22","2020-06-20",False,True,90,"31-90 days"
19,4130,"Student","2024-05-24","2024-08-22",False,True,90,"31-90 days"
20,3120,"Premium","2020-06-10","2021-06-10",False,True,365,"181-365 days"
21,4526,"Student","2024-08-26","2025-08-26",False,True,365,"181-365 days"
22,1742,"Family","2023-10-12","2024-10-11",False,True,365,"181-365 days"
23,6905,"Premium","2019-09-19","2019-12-18",False,True,90,"31-90 days"
24,4768,"Family","2021-09-25","2022-09-25",False,True,365,"181-365 days"
25,3845,"Student","2023-11-28","2024-05-26",False,True,180,"91-180 days"
26,6631,"Student","2023-10-02","2024-03-30",False,True,180,"91-180 days"
27,5493,"Family","2023-08-02","2023-10-31",False,True,90,"31-90 days"
28,5108,"Student","2022-11-27","2022-12-27",False,True,30,"0-30 days"
29,4675,"Student","2020-01-24","2020-07-22",False,True,180,"91-180 days"
30,5194,"Student","2020-07-08","2020-08-07",False,True,30,"0-30 days"
31,1367,"Family","2022-07-31","2022-08-30",False,True,30,"0-30 days"
32,2086,"Family","2024-09-29","2025-03-28",False,True,180,"91-180 days"
33,5160,"Student","2025-02-10","2026-02-10",True,False,344,"181-365 days"
34,1743,"Student","2025-05-16","2025-11-12",False,True,180,"91-180 days"
35,4169,"Premium","2024-06-20","2025-06-20",False,True,365,"181-365 days"
36,227,"Family","2023-08-02","2023-09-01",False,True,30,"0-30 days"
37,2017,"Student","2019-09-06","2019-12-05",False,True,90,"31-90 days"
38,5722,"Student","2021-09-28","2022-03-27",False,True,180,"91-180 days"
39,223,"Premium","2024-10-14","2025-04-12",False,True,180,"91-180 days"
40,4304,"Student","2021-07-06","2022-07-06",False,True,365,"181-365 days"
41,351,"Student","2020-04-12","2020-10-09",False,True,180,"91-180 days"
42,6945,"Premium","2021-08-25","2021-09-24",False,True,30,"0-30 days"
43,2503,"Student","2023-01-30","2024-01-30",False,True,365,"181-365 days"
44,2057,"Student","2024-06-28","2025-06-28",False,True,365,"181-365 days"
45,383,"Family","2024-01-01","2024-12-31",False,True,365,"181-365 days"
46,5692,"Student","2023-02-02","2023-08-01",False,True,180,"91-180 days"
47,5299,"Family","2021-05-13","2022-05-13",False,True,365,"181-365 days"
48,4225,"Family","2021-02-19","2021-03-21",False,True,30,"0-30 days"
49,4965,"Premium","2024-03-28","2024-04-27",False,True,30,"0-30 days"
50,591,"Premium","2020-12-26","2021-06-24",False,True,180,"91-180 days"
51,4759,"Premium","2021-01-24","2022-01-24",False,True,365,"181-365 days"
52,6893,"Family","2023-01-17","2023-02-16",False,True,30,"0-30 days"
53,2054,"Premium","2021-08-18","2021-11-16",False,True,90,"31-90 days"
54,533,"Student","2024-06-03","2024-07-03",False,True,30,"0-30 days"
55,6534,"Student","2025-03-26","2025-06-24",False,True,90,"31-90 days"
56,2329,"Student","2024-01-20","2025-01-19",False,True,365,"181-365 days"
57,3184,"Student","2021-06-18","2021-07-18",False,True,30,"0-30 days"
58,5068,"Student","2020-02-05","2021-02-04",False,True,365,"181-365 days"
59,4268,"Student","2023-01-19","2024-01-19",False,True,365,"181-365 days"
60,2235,"Student","2023-03-05","2023-04-04",False,True,30,"0-30 days"
61,4283,"Premium","2023-01-25","2023-02-24",False,True,30,"0-30 days"
62,4641,"Student","2019-09-17","2019-12-16",False,True,90,"31-90 days"
63,6722,"Student","2023-01-06","2023-04-06",False,True,90,"31-90 days"
64,6920,"Student","2021-05-29","2021-06-28",False,True,30,"0-30 days"
65,5555,"Student","2024-12-03","2025-12-03",False,True,365,"181-365 days"
66,4361,"Student","2025-02-03","2025-05-04",False,True,90,"31-90 days"
67,2601,"Family","2023-07-01","2024-06-30",False,True,365,"181-365 days"
68,956,"Student","2023-11-03","2023-12-03",False,True,30,"0-30 days"
69,6708,"Family","2022-01-06","2022-04-06",False,True,90,"31-90 days"
70,6266,"Family","2022-03-19","2023-03-19",False,True,365,"181-365 days"
71,6543,"Student","2024-08-29","2024-09-28",False,True,30,"0-30 days"
72,944,"Family","2021-08-31","2021-09-30",False,True,30,"0-30 days"
73,313,"Premium","2024-02-28","2024-03-29",False,True,30,"0-30 days"
74,921,"Premium","2021-12-18","2022-01-17",False,True,30,"0-30 days"
75,3000,"Family","2024-05-20","2024-06-19",False,True,30,"0-30 days"
76,3658,"Premium","2023-01-26","2024-01-26",False,True,365,"181-365 days"
77,3040,"Student","2025-02-10","2026-02-10",True,False,344,"181-365 days"
78,3471,"Premium","2021-01-26","2022-01-26",False,True,365,"181-365 days"
79,268,"Student","2021-12-03","2022-03-03",False,True,90,"31-90 days"
80,4940,"Family","2024-02-22","2024-05-22",False,True,90,"31-90 days"
81,4581,"Student","2024-12-24","2025-03-24",False,True,90,"31-90 days"
82,1037,"Premium","2020-12-09","2021-01-08",False,True,30,"0-30 days"
83,4326,"Family","2023-04-15","2023-07-14",False,True,90,"31-90 days"
84,4827,"Student","2023-07-24","2023-08-23",False,True,30,"0-30 days"
85,1393,"Student","2020-01-28","2020-02-27",False,True,30,"0-30 days"
86,1064,"Premium","2020-07-14","2021-01-10",False,True,180,"91-180 days"
87,5877,"Family","2022-06-25","2022-09-23",False,True,90,"31-90 days"
88,5008,"Student","2022-05-29","2022-08-27",False,True,90,"31-90 days"
89,1889,"Family","2024-11-26","2025-02-24",False,True,90,"31-90 days"
90,3637,"Student","2024-07-15","2024-08-14",False,True,30,"0-30 days"
91,2220,"Student","2019-12-31","2020-03-30",False,True,90,"31-90 days"
92,1105,"Student","2019-09-20","2019-12-19",False,True,90,"31-90 days"
93,4096,"Family","2020-11-24","2021-05-23",False,True,180,"91-180 days"
94,5492,"Premium","2023-12-01","2023-12-31",False,True,30,"0-30 days"
95,6828,"Student","2019-07-27","2020-07-26",False,True,365,"181-365 days"
