row_id,payment_id,user_id,amount,payment_date,payment_method,created_at,subscription_id
1a8ba236-f6eb-40fb-bc82-290ac86ed16d,1,4860,99,33:25.6,Credit Card,47:25.6,845
6908db63-7911-40de-a99b-b0d30a77c181,2,5561,99,24:52.6,Net Banking,36:52.6,188
38ca9716-5d2c-451a-95be-8ddbbd1ecb2d,3,2181,299,57:01.8,Wallet,08:01.8,1524
5f6cead1-6aef-4c8a-9be7-89445412890d,4,4966,199,16:29.9,Net Banking,28:29.9,1189
f4ccea34-3ce0-4dcc-aca3-9546203b6c72,5,933,99,55:56.0,UPI,10:56.0,1711
5ede6aaf-5616-4c11-a79c-7f7bcc77748e,6,3768,199,24:44.9,Debit Card,35:44.9,1030
425bfa27-a1dd-4d61-bed1-ce3f823297eb,7,2320,99,13:38.1,Net Banking,26:38.1,1303
2256d97d-6307-4752-b2b0-9d3eeb29c71f,8,807,199,39:55.0,Net Banking,50:55.0,1244
01afc0ab-a5d8-448c-b730-4ccc677fbc38,9,2386,299,08:06.2,UPI,21:06.2,1493
477b5e0d-7aa2-4056-8de4-aa2a8ef272b2,10,3330,99,37:41.4,Debit Card,50:41.4,1874
28576279-a169-40d5-a582-f38881aeb5be,11,449,99,29:26.8,Debit Card,40:26.8,336
437f65c2-d87d-40fa-89e7-1bae5a2fc609,12,1119,299,29:40.5,Net Banking,42:40.5,1916
a611beb7-011f-4708-b710-68590e30781a,13,757,199,17:46.7,Net Banking,28:46.7,1641
4a9287d9-a5e7-4c7a-8509-41fe7479049c,14,3825,299,44:41.8,Wallet,58:41.8,1640
e8baac5c-670d-49fe-b8c4-430aff6983fd,15,2971,99,43:55.8,Net Banking,53:55.8,623
68268992-edda-4cb8-97b0-e05bdb6798bf,16,4404,199,56:36.6,Debit Card,09:36.6,1794
f7ce49b6-6dbf-4901-bc31-0b6b1c099436,17,2213,99,54:56.3,Debit Card,06:56.3,1686
f29948a0-d554-4bf0-83cb-c325b14a0d2f,18,4552,299,04:51.6,Credit Card,15:51.6,532
11f24964-2ac6-4a62-8785-8b345a7da38f,19,6179,99,27:17.8,UPI,42:17.8,475
a5e4c537-2afa-46db-9707-a93e2741df26,20,528,99,00:32.9,Wallet,15:32.9,1585
d0865a57-23a9-4a9a-b9f7-27ca17547655,21,4300,99,46:34.5,UPI,57:34.5,246
ac13c837-e502-4ce8-b5b3-a48e153ea90f,22,1480,199,44:24.2,Debit Card,56:24.2,1429
c5d3f4b9-3d97-409f-af99-07a06d9e34f4,23,246,99,21:59.5,Credit Card,31:59.5,825
f871eb2b-b674-41a6-8658-230d1b1868f2,24,5857,299,02:50.5,Net Banking,14:50.5,1383
fe54548a-0be4-4cf7-a53c-f02683c9485d,25,4696,99,49:06.1,Wallet,00:06.1,1628
16734a17-69ac-4dc8-aa11-d5f5b5aa0636,26,2388,199,13:26.5,Net Banking,23:26.5,169
636cb108-2400-43a4-bc13-695bbbd5dab9,27,4893,99,03:35.1,Net Banking,16:35.1,96
f2a2806f-d2d7-44bd-bdcd-25d61f5f1005,28,6271,99,40:07.6,Debit Card,50:07.6,800
9011344c-12f6-4d3b-96f1-ca63bece89f3,29,1027,299,31:33.1,Debit Card,46:33.1,238
5ce073af-27f0-4cb9-8f96-8b83494b9679,30,2730,99,10:08.4,Debit Card,24:08.4,690
f6945b17-859a-45ab-b4a2-4d6d00abd75f,31,6788,99,34:50.1,Debit Card,44:50.1,567
be692acf-dc72-4c09-b990-93d4655810cf,32,1623,99,34:24.8,Net Banking,48:24.8,1310
27939295-bef8-4299-b95f-74d0d815dfe5,33,3543,99,12:16.7,Wallet,26:16.7,1330
a80f96ba-45e5-423e-b773-73e2c954ca77,34,4183,99,05:45.6,Debit Card,18:45.6,1450
edeaf674-55ff-4ff8-9ac2-29e588d83179,35,2829,99,41:02.6,Net Banking,56:02.6,513
740abed4-831e-4f81-a1be-59ea4ab55647,36,2216,299,24:20.1,Credit Card,39:20.1,755
8f71dad0-599f-48b6-a8b9-5aaa8a2bb99d,37,1768,299,37:26.6,Credit Card,48:26.6,1901
fa7b702b-ce8d-47e4-ba0e-d84ccad9e3e5,38,4817,199,50:31.4,Wallet,02:31.4,1351
ee17a385-47b3-48ee-9c18-67e786b7ed51,39,3193,199,03:08.0,UPI,15:08.0,1939
babff157-3443-44ec-8110-f4288bc44e55,40,1743,99,35:31.9,Wallet,49:31.9,34
3e187b33-e3f9-4b8b-a8f6-48b4427ad4aa,41,508,99,40:26.0,UPI,51:26.0,260
0d782da3-9522-4b01-abde-d17357953afc,42,6597,99,55:23.8,Net Banking,05:23.8,1496
2c4e3a79-45b6-46d2-9f9d-ee56a98a8ead,43,7,99,35:08.1,Net Banking,47:08.1,229
10471277-b59a-43bb-bd78-4ff00ae2b61c,44,4083,99,03:29.9,Debit Card,13:29.9,1123
a2ad8074-c2f7-486d-9395-11049b1f978f,45,2421,99,34:17.6,Debit Card,44:17.6,1986
ec4c474d-951b-4fe0-b383-14d602e83351,46,23,199,28:04.6,Wallet,41:04.6,374
23be86c2-fd14-477f-8968-d25f8f040cb1,47,2619,99,54:34.8,UPI,06:34.8,1426
8e5f3a59-97b9-4be9-ac79-4c944f48620c,48,15,99,21:09.5,UPI,35:09.5,2005
ad6b4cc1-93df-4e79-8878-ef6775674d89,49,3359,99,33:56.0,Wallet,46:56.0,387
4656df8c-5e6d-4027-a4c3-32b6b2cb3aa4,50,952,99,51:45.3,Net Banking,01:45.3,162
f23db571-4801-41b7-89c1-f8b14e3d2072,51,6597,99,55:23.8,Debit Card,07:23.8,2025
928a58f0-aae9-467a-a5be-e46e60c00bde,52,180,199,10:18.0,Wallet,21:18.0,528
fcae70c7-feb3-45f8-8124-f30f78f4ccbf,53,2399,199,14:35.2,Net Banking,27:35.2,1374
d4aea4c9-869d-4c80-a1e8-320bea28daf8,54,4988,299,33:31.7,Debit Card,48:31.7,222
53721e46-ff0c-4a48-b281-69a50215158f,55,3674,99,16:51.2,Wallet,31:51.2,1908
5e557589-4672-428a-b552-db1e6d1dabb1,56,5264,99,47:20.6,Credit Card,59:20.6,1521
811993d4-8e83-43d7-9b16-69e2b3587457,57,1988,299,50:31.8,UPI,03:31.8,693
610f9072-c315-4333-88f4-be41dd790dcf,58,6392,199,37:24.5,Wallet,52:24.5,415
0a0dd2a7-ffa7-432c-8083-48cd0df06059,59,816,99,54:55.4,Credit Card,07:55.4,1240
6bf3538f-8291-4e6e-8dbc-bbd5043b9752,60,3417,99,16:19.9,Net Banking,26:19.9,681
206e40f4-4712-4544-b65f-16c75d6a46e0,61,3811,99,42:21.2,Debit Card,52:21.2,703
17f59c56-f9ce-43fa-b6eb-4c430d07b802,62,2227,299,15:22.3,Credit Card,30:22.3,1388
116fc5d6-ae3d-435d-80d1-b342d46804b4,63,898,99,00:47.4,Debit Card,11:47.4,1332
d38c407e-4040-49a2-98aa-d756f9653bc2,64,5851,99,42:59.7,UPI,54:59.7,1929
b2d3be27-e1ee-4047-859d-66e29e521cc4,65,6381,199,54:26.8,Net Banking,07:26.8,1659
e9e53330-fe39-4a82-b173-c496497b897e,66,4749,99,06:22.8,Wallet,17:22.8,1633
8d9e7e32-4204-449b-97b8-63c5bf7b128d,67,5956,299,11:43.1,Credit Card,24:43.1,1049
c039f39b-98b9-4efb-a891-b8f2e56b11d2,68,4323,99,49:24.7,UPI,04:24.7,502
db84401b-bdea-401a-877a-7fbf52b96953,69,1003,299,30:58.6,Debit Card,43:58.6,1237
fd65a2a8-7a1d-4bff-b331-7687d7e9944f,70,3841,99,14:23.6,UPI,29:23.6,978
1c55f0c3-5414-4554-80cb-a517c0352840,71,728,199,53:45.3,Net Banking,05:45.3,710
63e1fd3a-06e8-4f3f-be52-167b390d09cf,72,2876,99,43:22.2,Debit Card,54:22.2,1552
c162eac4-2540-440f-b8ee-702729c147f1,73,6731,99,35:23.8,Wallet,45:23.8,719
08584fca-81f9-4f3f-af9d-b77a81fa031e,74,5828,299,36:07.7,Wallet,46:07.7,1912
08f0565b-aa61-4682-af4e-897bf4188c4d,75,5251,199,53:55.3,Debit Card,03:55.3,359
b7f08069-603e-4956-8224-b79ecbe4aec8,76,6768,99,39:20.7,Credit Card,52:20.7,1837
8afb3581-6a26-44af-8787-82267f5d630a,77,6750,99,49:37.1,UPI,02:37.1,1423
d71d2840-c9a8-4987-afa6-cfffc9466737,78,3273,99,41:01.8,Net Banking,53:01.8,1945
a6832485-0c72-41e8-b6e6-1518f462a589,79,6418,99,08:02.5,Credit Card,20:02.5,1278
3f5e40d1-7568-4169-a789-798c5753f41e,80,5710,199,48:41.8,Wallet,58:41.8,172
