row_id,subscription_id,user_id,subscription_type,start_date,end_date,created_at
07826fd8-159a-4024-9215-d16611166cf7,1,4979,Student,23/05/2021,22/06/2021,25:17.4
e1a2a150-11b7-4b77-a215-45a2c17d5949,2,699,Premium,21/02/2024,21/05/2024,30:03.5
cfb21d99-1f15-4a59-ad2d-f38843e13fd8,3,3623,Premium,23/04/2022,23/04/2023,30:16.4
eeb5981c-a30b-4d8a-8382-2241542aeda2,4,5367,Premium,25/06/2023,24/06/2024,05:45.7
2bf125f6-079f-4909-a757-487afafccbc0,5,6800,Premium,06/08/2019,05/09/2019,08:56.9
2a771b31-cefb-423c-95d0-e0a04cb30740,6,3696,Premium,25/06/2020,23/09/2020,57:53.1
e0f8d111-1e4a-4fac-83d4-026f47f8ea3d,7,3293,Family,28/06/2024,28/07/2024,53:58.1
58cc4ab6-839c-4d2e-870c-766d41ad8d6a,8,1835,Student,11/03/2025,11/03/2026,41:51.3
10d1b9d9-1bc2-47d7-984c-4e343ba8fce8,9,6858,Premium,27/10/2020,25/04/2021,44:22.2
cad5a9bb-06b2-4fd0-b723-867c59b122bd,10,5263,Family,10/02/2024,08/08/2024,02:35.7
8dd834c9-f44c-4253-8211-2d30ad9a235c,11,5140,Family,20/11/2024,20/12/2024,35:47.1
c10d2182-a154-44b2-ad5c-8fa5bf2edf06,12,363,Student,07/04/2022,06/07/2022,08:47.3
d0bd7587-30a1-437c-ac44-967e4e0cd6bb,13,5090,Premium,20/05/2021,20/05/2022,52:25.7
251634f5-1b8f-49f0-8337-5d78ce86344f,14,2904,Premium,07/11/2022,07/11/2023,29:05.7
89d8a7cc-cd02-4e4d-a978-42f7b5d73f8d,15,2760,Family,08/11/2022,07/05/2023,41:42.0
78629c39-1f91-498d-be8e-bb959cbd2134,16,1534,Premium,03/11/2020,03/11/2021,03:42.2
cbcef293-82c3-414b-a2f5-0bbe7ce73cc6,17,1179,Student,20/06/2020,20/06/2021,01:51.3
c4c6cdde-3d03-43c3-bf63-bed44442f1c6,18,6969,Student,22/03/2020,20/06/2020,46:15.9
2e7b3b92-7622-4645-99e2-d1c59d81c84a,19,4130,Student,24/05/2024,22/08/2024,28:52.0
470a6cff-e85b-455c-8f36-d1bb630882bf,20,3120,Premium,10/06/2020,10/06/2021,16:59.2
d1f3def5-f882-44d8-9a98-995f13092767,21,4526,Student,26/08/2024,26/08/2025,05:01.0
df8dc824-5a4e-4fcb-937e-0c88f43abaa4,22,1742,Family,12/10/2023,11/10/2024,18:08.6
cfb15bf1-8d4d-4fea-885c-7008cacaff77,23,6905,Premium,19/09/2019,18/12/2019,01:37.5
dbe2b13c-03d6-4140-bc15-f0cb90bedef4,24,4768,Family,25/09/2021,25/09/2022,30:53.2
4f3c748a-05a6-4a35-aed2-2c1b35713913,25,3845,Student,28/11/2023,26/05/2024,57:22.3
018a156c-5478-413f-9a63-b5c774a4704a,26,6631,Student,02/10/2023,30/03/2024,11:22.6
53a312bb-f314-47a9-a2d3-03ff1ae21d21,27,5493,Family,02/08/2023,31/10/2023,17:06.0
eda1348a-d783-4bbe-b841-fbefd2fba83c,28,5108,Student,27/11/2022,27/12/2022,28:19.8
f65dd025-8156-4baf-8045-d22a146fcd07,29,4675,Student,24/01/2020,22/07/2020,47:52.9
49638806-0b18-41ac-b28d-3cdb55a6da41,30,5194,Student,08/07/2020,07/08/2020,51:12.1
92567ae9-a4dc-488a-8f5b-fc75c92f4619,31,1367,Family,31/07/2022,30/08/2022,50:30.3
4dc44f83-721d-48ac-9360-be11ed13d0a1,32,2086,Family,29/09/2024,28/03/2025,24:08.3
fec7b63a-0457-4ead-a250-2b7ea54dd777,33,5160,Student,10/02/2025,10/02/2026,50:44.7
d2826cf6-4565-4eb3-955b-48b5961d1f44,34,1743,Student,16/05/2025,12/11/2025,35:31.9
2485a430-c127-4ec8-a34f-75e91a82bcef,35,4169,Premium,20/06/2024,20/06/2025,31:41.2
6f69429c-042e-4271-8a35-d0ad5a5d8def,36,227,Family,02/08/2023,01/09/2023,13:33.1
c2b88716-54d5-40a2-b7b0-f943f2147a41,37,2017,Student,06/09/2019,05/12/2019,40:20.3
