row_id,history_id,user_id,song_id,listen_date,created_at
531ebd61-da4a-49e7-8e20-7dbff05745ce,1,883,2588,28:18.9,28:18.9
939c7407-c7d2-4f4e-98b1-2332a3d0c6bb,2,5248,5692,15:28.1,15:28.1
95e77e75-4d99-4cd6-8008-31e393a8ea28,3,4406,3067,30:42.1,30:42.1
2100d430-f80c-4f17-9ade-0eec89bbd30c,4,1573,3191,20:18.7,20:18.7
60fec3d3-bab9-4c28-b9fd-f670881f664a,5,285,1317,38:21.5,38:21.5
4a9fb0d1-2464-47fa-9f2b-be3aa64d4e11,6,5212,1160,07:23.6,07:23.6
798b0919-eabf-4fae-8f5f-4c68e3f201d5,7,4748,5678,36:35.7,36:35.7
329a5bf9-213b-4ebf-b702-e380e76cf9c8,8,594,4188,05:24.1,05:24.1
fffc3b3a-260c-4610-8eb3-1b0b1b2fe6d9,9,1443,643,49:15.8,49:15.8
2af15b61-8f1a-4224-9bde-3e3a73985105,10,2648,2655,12:26.0,12:26.0
ba0d46bf-a108-4bc9-8d2a-a1a74d3a524d,11,4424,4150,04:49.5,04:49.5
5a28f37a-a566-4105-9b5d-05f5abf16bee,12,495,777,04:52.7,04:52.7
4a44d90d-7c80-4e0b-a4d2-fc9f222cbc30,13,3892,1393,55:28.7,55:28.7
f828ae11-d2c8-4991-b5a4-1c22bd132a81,14,4068,5029,40:52.8,40:52.8
72a393d3-7f10-4549-80a9-feaaec52686f,15,5656,4449,53:29.0,53:29.0
0e505353-8979-46da-84a7-ce7529459e74,16,2322,1942,05:27.5,05:27.5
e758cc1d-f6d0-4937-9b77-8de8d22e2d04,17,6439,4529,07:01.6,07:01.6
dfb01cbc-fe0e-493b-9879-ca9c134db6a9,18,95,5949,59:16.6,59:16.6
707b9c50-0cd8-4d60-b46c-e38439515e6a,19,2666,1586,17:24.1,17:24.1
95dcd9a6-8015-42e5-8111-c8b2b15ddc95,20,4230,4393,52:02.0,52:02.0
7303ea53-c306-4279-9489-ebede81e13b4,21,746,5233,54:18.0,54:18.0
711b51ba-6648-49f3-866f-f795fa4d82cd,22,6090,3134,32:23.7,32:23.7
9f778434-32ed-48f5-adef-66cebe6ed5a3,23,3365,791,21:05.8,21:05.8
49490f1c-780f-42af-ace1-bdea42774246,24,2826,2843,15:09.2,15:09.2
41a52bbd-709d-489b-bddf-669e37e767a1,25,6454,4903,13:05.0,13:05.0
267a008f-7f28-40f2-a3f4-0812595528bb,26,5077,5455,57:34.8,57:34.8
78545e6b-bb44-4e65-a327-5644196dc8fe,27,729,4673,38:00.4,38:00.4
ed28c68b-e776-4cb0-be71-2eab6fc941c6,28,5161,93,33:24.9,33:24.9
3715089f-ccb3-481f-a366-aeecafddeee8,29,5330,4925,39:27.3,39:27.3
7a32dc70-e2de-4cb1-8018-293afcb00379,30,2784,4877,12:28.7,12:28.7
2d26165b-270e-4cb8-90c2-3e81e98374c3,31,1196,2927,58:17.9,58:17.9
c8d70de7-3f77-4278-9ef6-5e1224e0ddc2,32,6866,1512,59:13.8,59:13.8
b9b1ea34-13d6-4f5c-871b-e023b1e82058,33,3029,3529,39:55.8,39:55.8
62567da6-9d3e-40e4-881c-1eadcb0aae32,34,523,5996,49:19.9,49:19.9
2064131a-2363-441f-b376-de0cbb559955,35,5379,2372,49:21.8,49:21.8
a36b6c32-9bc5-4511-be8c-dea50a7b1ef1,36,2477,5147,54:14.4,54:14.4
be0ddb5b-9b2f-4a34-8b02-90a628234bd3,37,2366,225,27:19.7,27:19.7
7fb66f6a-7591-4d26-a294-c38a119c42b3,38,6121,1693,30:28.7,30:28.7
72b65f2c-b81b-4b79-b42c-591d8f53f795,39,2179,4422,25:45.9,25:45.9
6392703b-8d7b-4909-85b6-d418da2bbf19,40,4893,2962,24:56.1,24:56.1
abe896cb-3909-40b7-81a7-565cc4c377f4,41,2162,2126,28:47.0,28:47.0
7e37135f-8b44-4afc-a32c-0ee80b52afcb,42,2016,1699,15:05.3,15:05.3
c079ddf5-246a-4f1c-8178-0e83d26fccd8,43,5257,5356,00:01.6,00:01.6
dfae3148-a572-4273-ab3e-01e76bf295b4,44,3132,4998,33:38.6,33:38.6
4ced7d71-323b-4373-8bf1-948d9de38669,45,1048,3233,12:27.1,12:27.1
f72ef6d9-4733-484f-b7b2-734bfc87ef2e,46,3571,5017,02:01.8,02:01.8
724c2329-0d84-4cbc-a34a-7a043f6a30c2,47,4787,487,36:49.7,36:49.7
1a2a5de8-12fe-4dde-82aa-10fb1d096359,48,3980,5477,09:03.8,09:03.8
e8700541-54e0-4f71-a0ab-073af7ad5d6c,49,6783,1797,03:54.4,03:54.4
3d813451-c18f-4e7d-91c6-25302f2eedf5,50,6209,381,32:30.3,32:30.3
ded853f6-58eb-4424-a698-be1aca8afa59,51,6795,2863,03:00.1,03:00.1
bd5237a1-89fc-4db1-801c-20418f0ec268,52,2523,690,09:55.9,09:55.9
579884b4-60d7-4147-9fb9-2461ee0fbfb8,53,1355,2798,23:24.9,23:24.9
04f36f36-2a06-46fb-bf1c-5998f7a5cf8c,54,3166,1866,12:51.6,12:51.6
